Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,midsize car,7,26/64,34/74,29/68,10,Yes
AUDI A7,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,midsize car,7,26/64,34/74,29/68,10,Yes
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,small SUV,7,25/43,29/64,27/50,10,Yes
AUDI Q5,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,FA,small SUV,7,25/43,29/64,27/50,10,Yes
AUDI e-tron,,,Auto-1,4WD,Electricity,FA,standard SUV,10,78,77,78,10,Elite
AUDI e-tron,,,Auto-1,4WD,Electricity,CA,standard SUV,10,78,77,78,10,Elite
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,FA,standard SUV,10,76,78,77,10,Elite
AUDI e-tron Sportback,,,Auto-1,4WD,Electricity,CA,standard SUV,10,76,78,77,10,Elite
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,25/72,33/80,28/75,10,Yes
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,25/72,33/80,28/75,10,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/64,30/71,25/67,9,Yes
BMW 330e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/64,30/71,25/67,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,24/59,29/72,26/64,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,22/59,28/67,25/62,9,Yes
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,22/59,28/67,25/62,9,Yes
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small SUV,7,21/59,27/61,24/60,9,Yes
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small SUV,7,21/59,27/61,24/60,9,Yes
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,19/47,22/54,20/50,9,Yes
BMW X5 xDrive45e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,19/47,22/54,20/50,9,Yes
BMW i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,30/107,31/93,31/100,10,Yes
BMW i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,30/107,31/93,31/100,10,Yes
BMW i3,,,Auto-1,2WD,Electricity,FA,small car,10,124,102,113,10,Elite
BMW i3,,,Auto-1,2WD,Electricity,CA,small car,10,124,102,113,10,Elite
BMW i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,30/107,31/93,31/100,10,Yes
BMW i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,30/107,31/93,31/100,10,Yes
BMW i3s,,,Auto-1,2WD,Electricity,FA,small car,10,124,102,113,10,Elite
BMW i3s,,,Auto-1,2WD,Electricity,CA,small car,10,124,102,113,10,Elite
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,CA,small SUV,7,30,32,31,7,Yes
BUICK Encore GX,1.3,3.0,CVT,2WD,Gasoline,FA,small SUV,7,30,32,31,7,Yes
CHEVROLET Bolt EV,,,CVT,2WD,Electricity,FA,station wagon,10,127,108,118,10,Elite
CHEVROLET Bolt EV,,,CVT,2WD,Electricity,CA,station wagon,10,127,108,118,10,Elite
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,29,36,32,7,Yes
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,29,36,32,7,Yes
CHEVROLET Trailblazer,1.3,3.0,CVT,2WD,Gasoline,CA,small SUV,7,29,33,31,7,Yes
CHEVROLET Trailblazer,1.3,3.0,CVT,2WD,Gasoline,FA,small SUV,7,29,33,31,7,Yes
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,CA,minivan,7,29/87,30/76,30/82,10,Yes
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,FA,minivan,7,29/87,30/76,30/82,10,Yes
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,CA,small SUV,7,44,37,41,8,Yes
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,FA,small SUV,7,44,37,41,8,Yes
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,CA,small SUV,7,43,37,40,8,Yes
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,FA,small SUV,7,43,37,40,8,Yes
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,CA,small SUV,7,43/117,38/93,40/105,10,Yes
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,FA,small SUV,7,43/117,38/93,40/105,10,Yes
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,FA,station wagon,10,105,93,100,10,Elite
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,CA,station wagon,10,105,93,100,10,Elite
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,FA,station wagon,10,100,86,93,10,Elite
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,CA,station wagon,10,100,86,93,10,Elite
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,FA,station wagon,10,108,94,101,10,Elite
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,CA,station wagon,10,108,94,101,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,FA,station wagon,10,104,90,97,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,2WD,Electricity,CA,station wagon,10,104,90,97,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,FA,station wagon,10,96,84,90,10,Elite
FORD Mustang Mach-E Extended,,,Auto-1,4WD,Electricity,CA,station wagon,10,96,84,90,10,Elite
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,FA,station wagon,10,90,77,84,10,Elite
FORD Mustang Mach-E GT,,,Auto-1,4WD,Electricity,CA,station wagon,10,90,77,84,10,Elite
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,FA,station wagon,10,88,75,82,10,Elite
FORD Mustang Mach-E GT Performance,,,Auto-1,4WD,Electricity,CA,station wagon,10,88,75,82,10,Elite
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,CA,large car,7,30,38,33,7,Yes
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,FA,large car,7,30,38,33,7,Yes
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,CA,large car,7,48,48,48,9,Yes
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,FA,large car,7,48,48,48,9,Yes
HONDA Accord Sport/Touring,1.5,4.0,SCV-7,2WD,Gasoline,CA,large car,7,29,35,32,7,Yes
HONDA Accord Sport/Touring,1.5,4.0,SCV-7,2WD,Gasoline,FA,large car,7,29,35,32,7,Yes
HONDA Accord Sport/Touring,2.0,4.0,CVT,2WD,Gasoline,CA,large car,7,44,41,43,9,Yes
HONDA Accord Sport/Touring,2.0,4.0,CVT,2WD,Gasoline,FA,large car,7,44,41,43,9,Yes
HONDA CR-V,2.0,4.0,CVT,4WD,Gasoline,CA,small SUV,7,40,35,38,8,Yes
HONDA CR-V,2.0,4.0,CVT,4WD,Gasoline,FA,small SUV,7,40,35,38,8,Yes
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4.0,SCV-7,2WD,Gasoline,CA,midsize car,7,30,38,33,7,Yes
HONDA Civic 4Dr,1.5,4.0,SCV-7,2WD,Gasoline,FA,midsize car,7,30,38,33,7,Yes
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,30,38,33,7,Yes
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,30,38,33,7,Yes
HONDA Civic 4Dr,2.0,4.0,SCV-7,2WD,Gasoline,CA,midsize car,7,29,37,32,7,Yes
HONDA Civic 4Dr,2.0,4.0,SCV-7,2WD,Gasoline,FA,midsize car,7,29,37,32,7,Yes
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,CA,large car,7,31,40,34,7,Yes
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,FA,large car,7,31,40,34,7,Yes
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,CA,large car,7,29,35,32,7,Yes
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,FA,large car,7,29,35,32,7,Yes
HONDA Clarity,1.5,4.0,CVT,2WD,Gasoline/Electricity,CA,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,1.5,4.0,CVT,2WD,Gasoline/Electricity,FA,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Clarity,,,Auto-1,2WD,Hydrogen,FA,midsize car,10,68,67,68,10,Elite
HONDA Clarity,,,Auto-1,2WD,Hydrogen,CA,midsize car,10,68,67,68,10,Elite
HONDA Insight,1.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,55,49,52,9,Yes
HONDA Insight,1.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,55,49,52,9,Yes
HONDA Insight Touring,1.5,4.0,CVT,2WD,Gasoline,CA,small car,7,51,45,48,9,Yes
HONDA Insight Touring,1.5,4.0,CVT,2WD,Gasoline,FA,small car,7,51,45,48,9,Yes
HYUNDAI Elantra,2.0,4.0,SCV-1,2WD,Gasoline,CA,midsize car,7,31,41,35,7,Yes
HYUNDAI Elantra,2.0,4.0,SCV-1,2WD,Gasoline,CA,midsize car,7,33,43,37,8,Yes
HYUNDAI Elantra,2.0,4.0,SCV-1,2WD,Gasoline,FA,midsize car,7,31,41,35,7,Yes
HYUNDAI Elantra,2.0,4.0,SCV-1,2WD,Gasoline,FA,midsize car,7,33,43,37,8,Yes
HYUNDAI Elantra Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,midsize car,7,49,52,50,9,Yes
HYUNDAI Elantra Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,FA,midsize car,7,49,52,50,9,Yes
HYUNDAI Elantra Hybrid Blue,1.6,4.0,AMS-6,2WD,Gasoline,CA,midsize car,7,53,56,54,10,Yes
HYUNDAI Elantra Hybrid Blue,1.6,4.0,AMS-6,2WD,Gasoline,FA,midsize car,7,53,56,54,10,Yes
HYUNDAI Ioniq,1.6,4.0,AMS-6,2WD,Gasoline,CA,large car,7,54,56,55,10,Yes
HYUNDAI Ioniq,1.6,4.0,AMS-6,2WD,Gasoline,FA,large car,7,54,56,55,10,Yes
HYUNDAI Ioniq Blue,1.6,4.0,AMS-6,2WD,Gasoline,CA,large car,7,58,60,59,10,Yes
HYUNDAI Ioniq Blue,1.6,4.0,AMS-6,2WD,Gasoline,FA,large car,7,58,60,59,10,Yes
HYUNDAI Ioniq Electric,,,Auto-1,2WD,Electricity,FA,midsize car,10,145,121,133,10,Elite
HYUNDAI Ioniq Electric,,,Auto-1,2WD,Electricity,CA,midsize car,10,145,121,133,10,Elite
HYUNDAI Ioniq Plug-in Hybrid,1.6,4.0,AMS-6,2WD,Gasoline/Electricity,CA,midsize car,7,52/123,51/115,52/119,10,Yes
HYUNDAI Ioniq Plug-in Hybrid,1.6,4.0,AMS-6,2WD,Gasoline/Electricity,FA,midsize car,7,52/123,51/115,52/119,10,Yes
HYUNDAI Kona Electric,,,Auto-1,2WD,Electricity,FA,small SUV,10,132,108,120,10,Elite
HYUNDAI Kona Electric,,,Auto-1,2WD,Electricity,CA,small SUV,10,132,108,120,10,Elite
HYUNDAI NEXO,,,Auto-1,2WD,Hydrogen,FA,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO,,,Auto-1,2WD,Hydrogen,CA,small SUV,10,59,54,57,10,Elite
HYUNDAI NEXO Blue,,,Auto-1,2WD,Hydrogen,FA,small SUV,10,65,58,61,10,Elite
HYUNDAI NEXO Blue,,,Auto-1,2WD,Hydrogen,CA,small SUV,10,65,58,61,10,Elite
HYUNDAI Santa Fe Hybrid,1.6,4.0,AMS-6,4WD,Gasoline,CA,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid,1.6,4.0,AMS-6,4WD,Gasoline,FA,small SUV,7,33,30,32,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4.0,AMS-6,4WD,Gasoline,CA,small SUV,7,36,31,34,7,Yes
HYUNDAI Santa Fe Hybrid Blue,1.6,4.0,AMS-6,4WD,Gasoline,FA,small SUV,7,36,31,34,7,Yes
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,large car,7,28,38,32,7,Yes
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,FA,large car,7,27,37,31,7,Yes
HYUNDAI Sonata,2.5,4.0,SemiAuto-8,2WD,Gasoline,FA,large car,7,28,38,32,7,Yes
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,CA,large car,7,45,51,47,9,Yes
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,FA,large car,7,45,51,47,9,Yes
HYUNDAI Sonata Hybrid Blue,2.0,4.0,AMS-6,2WD,Gasoline,CA,large car,7,50,54,52,9,Yes
HYUNDAI Sonata Hybrid Blue,2.0,4.0,AMS-6,2WD,Gasoline,FA,large car,7,50,54,52,9,Yes
JAGUAR I-PACE EV400,,,Auto-1,4WD,Electricity,FA,small SUV,10,80,72,76,10,Elite
JAGUAR I-PACE EV400,,,Auto-1,4WD,Electricity,CA,small SUV,10,80,72,76,10,Elite
KANDI K23 (254Ah),,,Auto-1,2WD,Electricity,CA,large car,10,99,92,96,10,Elite
KANDI K23 (254Ah),,,Auto-1,2WD,Electricity,FA,large car,10,99,92,96,10,Elite
KANDI K23 (254Ah),,,Auto-1,2WD,Electricity,CA,large car,10,99,92,96,10,Elite
KARMA GS-6 (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,27/71,25/69,26/70,10,Yes
KARMA GS-6 (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,27/71,25/69,26/70,10,Yes
KARMA GS-6 (22-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,22/63,21/61,22/62,10,Yes
KARMA GS-6 (22-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,22/63,21/61,22/62,10,Yes
KARMA Revero GT (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,27/71,25/69,26/70,10,Yes
KARMA Revero GT (21-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,27/71,25/69,26/70,10,Yes
KARMA Revero GT (22-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,CA,small car,7,22/63,21/61,22/62,10,Yes
KARMA Revero GT (22-inch wheels),1.5,3.0,Auto-1,2WD,Gasoline/Electricity,FA,small car,7,22/63,21/61,22/62,10,Yes
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,29,40,33,7,Yes
KIA Forte,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,29,40,33,7,Yes
KIA Niro,1.6,4.0,AMS-6,2WD,Gasoline,CA,station wagon,7,51,46,49,9,Yes
KIA Niro,1.6,4.0,AMS-6,2WD,Gasoline,FA,station wagon,7,51,46,49,9,Yes
KIA Niro Electric,,,Auto-1,2WD,Electricity,FA,station wagon,10,123,102,112,10,Elite
KIA Niro Electric,,,Auto-1,2WD,Electricity,CA,station wagon,10,123,102,112,10,Elite
KIA Niro FE,1.6,4.0,AMS-6,2WD,Gasoline,CA,station wagon,7,53,48,50,9,Yes
KIA Niro FE,1.6,4.0,AMS-6,2WD,Gasoline,FA,station wagon,7,53,48,50,9,Yes
KIA Niro Plug-in Hybrid,1.6,4.0,AMS-6,2WD,Gasoline/Electricity,CA,station wagon,7,48/110,44/99,46/105,10,Yes
KIA Niro Plug-in Hybrid,1.6,4.0,AMS-6,2WD,Gasoline/Electricity,FA,station wagon,7,48/110,44/99,46/105,10,Yes
KIA Niro Touring,1.6,4.0,AMS-6,2WD,Gasoline,CA,station wagon,7,46,40,43,9,Yes
KIA Niro Touring,1.6,4.0,AMS-6,2WD,Gasoline,FA,station wagon,7,46,40,43,9,Yes
KIA Sorento Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,small SUV,7,39,35,37,8,Yes
KIA Sorento Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,FA,small SUV,7,39,35,37,8,Yes
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,CA,station wagon,7,29,35,31,7,Yes
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,FA,station wagon,7,29,35,31,7,Yes
KIA Soul Electric,,,Auto-1,2WD,Electricity,FA,station wagon,10,127,101,114,10,Elite
KIA Soul Electric,,,Auto-1,2WD,Electricity,CA,station wagon,10,127,101,114,10,Elite
LAND ROVER Range Rover PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,18/42,21/42,19/42,7,Yes
LAND ROVER Range Rover PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,18/42,21/42,19/42,7,Yes
LAND ROVER Range Rover Sport PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,standard SUV,7,18/42,21/42,19/42,7,Yes
LAND ROVER Range Rover Sport PHEV,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,standard SUV,7,18/42,21/42,19/42,7,Yes
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,CA,midsize car,7,43,44,44,9,Yes
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,FA,midsize car,7,43,44,44,9,Yes
LEXUS NX 300h,2.5,4.0,SCV-6,4WD,Gasoline,CA,small SUV,7,33,30,31,7,Yes
LEXUS NX 300h,2.5,4.0,SCV-6,4WD,Gasoline,FA,small SUV,7,33,30,31,7,Yes
LEXUS UX 200,2.0,4.0,SCV-10,2WD,Gasoline,CA,midsize car,6,29,37,32,7,Yes
LEXUS UX 200,2.0,4.0,SCV-10,2WD,Gasoline,FA,midsize car,6,29,37,32,7,Yes
LEXUS UX 250h,2.0,4.0,SCV-6,2WD,Gasoline,CA,small car,7,43,41,42,8,Yes
LEXUS UX 250h,2.0,4.0,SCV-6,2WD,Gasoline,FA,small car,7,43,41,42,8,Yes
LEXUS UX 250h,2.0,4.0,SCV-6,4WD,Gasoline,CA,small car,7,41,38,39,8,Yes
LEXUS UX 250h,2.0,4.0,SCV-6,4WD,Gasoline,FA,small car,7,41,38,39,8,Yes
LINCOLN Aviator PHEV,3.0,6.0,SemiAuto-10,4WD,Gasoline/Electricity,CA,standard SUV,7,22/54,25/58,23/56,9,Yes
LINCOLN Aviator PHEV,3.0,6.0,SemiAuto-10,4WD,Gasoline/Electricity,FA,standard SUV,7,22/54,25/58,23/56,9,Yes
LINCOLN Corsair PHEV,2.5,4.0,CVT,4WD,Gasoline/Electricity,CA,small SUV,7,34/83,32/72,33/78,10,Yes
LINCOLN Corsair PHEV,2.5,4.0,CVT,4WD,Gasoline/Electricity,FA,small SUV,7,34/83,32/72,33/78,10,Yes
MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,28,36,31,7,Yes
MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,small car,7,28,36,31,7,Yes
MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,small car,7,29,34,31,7,Yes
MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,small car,7,29,34,31,7,Yes
MINI Cooper Convertible,1.5,3.0,AMS-7,2WD,Gasoline,CA,small car,7,28,37,31,7,Yes
MINI Cooper Convertible,1.5,3.0,AMS-7,2WD,Gasoline,FA,small car,7,28,37,31,7,Yes
MINI Cooper Hardtop,1.5,3.0,AMS-7,2WD,Gasoline,CA,small car,7,28,37,31,7,Yes
MINI Cooper Hardtop,1.5,3.0,AMS-7,2WD,Gasoline,FA,small car,7,28,37,31,7,Yes
MINI Cooper SE Hardtop,,,Auto-1,2WD,Electricity,FA,small car,10,115,100,108,10,Elite
MINI Cooper SE Hardtop,,,Auto-1,2WD,Electricity,CA,small car,10,115,100,108,10,Elite
MITSUBISHI Outlander PHEV,2.4,4.0,Auto-1,4WD,Gasoline/Electricity,CA,small SUV,7,26/76,26/71,26/74,10,Yes
MITSUBISHI Outlander PHEV,2.4,4.0,Auto-1,4WD,Gasoline/Electricity,FA,small SUV,7,26/76,26/71,26/74,10,Yes
NISSAN Altima,2.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,28,39,32,7,Yes
NISSAN Altima,2.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,28,39,32,7,Yes
NISSAN Altima SR,2.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,27,37,31,7,Yes
NISSAN Altima SR,2.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,27,37,31,7,Yes
NISSAN Altima SV/SL,2.5,4.0,CVT,2WD,Gasoline,CA,midsize car,7,27,37,31,7,Yes
NISSAN Altima SV/SL,2.5,4.0,CVT,2WD,Gasoline,FA,midsize car,7,27,37,31,7,Yes
NISSAN Kicks,1.6,4.0,CVT,2WD,Gasoline,CA,midsize car,7,31,36,33,7,Yes
NISSAN Kicks,1.6,4.0,CVT,2WD,Gasoline,FA,midsize car,7,31,36,33,7,Yes
NISSAN Leaf,,,Auto-1,2WD,Electricity,FA,midsize car,10,123,99,111,10,Elite
NISSAN Leaf,,,Auto-1,2WD,Electricity,CA,midsize car,10,123,99,111,10,Elite
NISSAN Leaf,,,Auto-1,2WD,Electricity,FA,midsize car,10,118,97,108,10,Elite
NISSAN Leaf,,,Auto-1,2WD,Electricity,CA,midsize car,10,118,97,108,10,Elite
NISSAN Leaf SV/SL,,,Auto-1,2WD,Electricity,FA,midsize car,10,114,94,104,10,Elite
NISSAN Leaf SV/SL,,,Auto-1,2WD,Electricity,CA,midsize car,10,114,94,104,10,Elite
NISSAN Rogue,1.5,3.0,SCV-8,2WD,Gasoline,CA,small SUV,6,30,37,33,7,Yes
NISSAN Rogue,1.5,3.0,SCV-8,2WD,Gasoline,FA,small SUV,6,30,37,33,7,Yes
NISSAN Rogue,1.5,3.0,SCV-8,4WD,Gasoline,CA,small SUV,6,30,36,33,7,Yes
NISSAN Rogue,1.5,3.0,SCV-8,4WD,Gasoline,FA,small SUV,6,30,36,33,7,Yes
NISSAN Rogue SL/Platinum,1.5,3.0,SCV-8,2WD,Gasoline,CA,small SUV,6,30,36,32,7,Yes
NISSAN Rogue SL/Platinum,1.5,3.0,SCV-8,2WD,Gasoline,FA,small SUV,6,30,36,32,7,Yes
NISSAN Rogue SL/Platinum,1.5,3.0,SCV-8,4WD,Gasoline,CA,small SUV,6,29,35,32,7,Yes
NISSAN Rogue SL/Platinum,1.5,3.0,SCV-8,4WD,Gasoline,FA,small SUV,6,29,35,32,7,Yes
NISSAN Sentra,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,29,39,33,7,Yes
NISSAN Sentra,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,29,39,33,7,Yes
NISSAN Sentra,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,29,39,33,7,Yes
NISSAN Sentra,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,29,39,33,7,Yes
NISSAN Sentra SR,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,28,37,32,7,Yes
NISSAN Sentra SR,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,28,37,32,7,Yes
NISSAN Sentra SR,2.0,4.0,CVT,2WD,Gasoline,CA,midsize car,7,28,37,32,7,Yes
NISSAN Sentra SR,2.0,4.0,CVT,2WD,Gasoline,FA,midsize car,7,28,37,32,7,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,CA,small car,7,32,40,35,7,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,FA,small car,7,32,40,35,7,Yes
POLESTAR 2,,,Auto-1,4WD,Electricity,FA,midsize car,10,96,88,92,10,Elite
POLESTAR 2,,,Auto-1,4WD,Electricity,CA,midsize car,10,96,88,92,10,Elite
PORSCHE Taycan 4 Cross Turismo,,,Auto-2,4WD,Electricity,FA,midsize car,10,76,77,76,10,Elite
PORSCHE Taycan 4 Cross Turismo,,,Auto-2,4WD,Electricity,CA,midsize car,10,76,77,76,10,Elite
PORSCHE Taycan 4S Cross Turismo,,,Auto-2,4WD,Electricity,FA,midsize car,10,75,75,75,10,Elite
PORSCHE Taycan 4S Cross Turismo,,,Auto-2,4WD,Electricity,CA,midsize car,10,75,75,75,10,Elite
PORSCHE Taycan 4S Perf Battery,,,Auto-2,4WD,Electricity,FA,large car,10,79,80,79,10,Elite
PORSCHE Taycan 4S Perf Battery,,,Auto-2,4WD,Electricity,CA,large car,10,79,80,79,10,Elite
PORSCHE Taycan 4S Perf Battery Plus,,,Auto-2,4WD,Electricity,FA,large car,10,75,81,77,10,Elite
PORSCHE Taycan 4S Perf Battery Plus,,,Auto-2,4WD,Electricity,CA,large car,10,75,81,77,10,Elite
PORSCHE Taycan Perf Battery,,,Auto-2,2WD,Electricity,FA,small car,10,76,84,79,10,Elite
PORSCHE Taycan Perf Battery,,,Auto-2,2WD,Electricity,CA,small car,10,76,84,79,10,Elite
PORSCHE Taycan Perf Battery Plus,,,Auto-2,2WD,Electricity,FA,small car,10,71,80,75,10,Elite
PORSCHE Taycan Perf Battery Plus,,,Auto-2,2WD,Electricity,CA,small car,10,71,80,75,10,Elite
PORSCHE Taycan Turbo,,,Auto-2,4WD,Electricity,FA,large car,10,71,75,73,10,Elite
PORSCHE Taycan Turbo,,,Auto-2,4WD,Electricity,CA,large car,10,71,75,73,10,Elite
PORSCHE Taycan Turbo Cross Turismo,,,Auto-2,4WD,Electricity,FA,midsize car,10,72,72,72,10,Elite
PORSCHE Taycan Turbo Cross Turismo,,,Auto-2,4WD,Electricity,CA,midsize car,10,72,72,72,10,Elite
PORSCHE Taycan Turbo S,,,Auto-2,4WD,Electricity,FA,large car,10,69,71,70,10,Elite
PORSCHE Taycan Turbo S,,,Auto-2,4WD,Electricity,CA,large car,10,69,71,70,10,Elite
PORSCHE Taycan Turbo S Cross Turismo,,,Auto-2,4WD,Electricity,FA,midsize car,10,74,73,73,10,Elite
PORSCHE Taycan Turbo S Cross Turismo,,,Auto-2,4WD,Electricity,CA,midsize car,10,74,73,73,10,Elite
